rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
31,Fabio Fognini,Italy,ITA,1494,9,2019-07-15,1,0,2920
32,Frances Tiafoe,United States,USA,1492,29,2019-02-11,2,25,1492
33,Alex De Minaur,Australia,AUS,1486,15,2021-06-28,9,170,2690
34,Lloyd George Muirhead Harris,South Africa,RSA,1477,31,2021-09-13,-1,4,1758
35,Alexander Bublik,Kazakhstan,KAZ,1433,34,2021-09-13,2,22,1721
36,Filip Krajinovic,Serbia,SRB,1414,26,2018-04-23,0,-13,1724
37,Dominic Thiem,Austria,AUT,1390,3,2020-03-02,-21,-1020,9125
38,Dusan Lajovic,Serbia,SRB,1371,23,2019-04-29,1,25,1895
39,Marton Fucsovics,Hungary,HUN,1357,31,2019-03-04,-4,-100,1659
40,Ugo Humbert,France,FRA,1318,25,2021-06-21,0,0,2270
41,Federico Delbonis,Argentina,ARG,1312,33,2016-05-09,-3,-35,1435
42,Tommy Paul,United States,USA,1297,41,2022-01-10,-1,-20,1374
43,Sebastian Korda,United States,USA,1276,38,2021-10-18,0,-10,1474
44,Albert Ramos,Spain,ESP,1259,17,2017-05-08,0,0,2180
45,Kei Nishikori,Japan,JPN,1210,4,2015-03-02,1,0,6385
